shipment_id,date,departure_datetime,arrival_datetime,route_id,origin,destination,distance_km,route_complexity,driver_id,driver_experience,driver_rating,vehicle_id,customer_id,warehouse_id,cargo_type,weight_kg,freight_cost_usd,planned_hours,actual_hours,delay_hours,is_delayed,departure_hour,day_of_week,day_name,month,year,is_holiday,is_weekend,weather_score,traffic_index,processing_time_mins,on_time
SHP-000001,2022-01-01,2022-01-01 20:36:00,2022-01-02 03:52:22,R002,Johannesburg,Durban,560,2,DRV-018,2,4.5,TRK-044,CUST-0061,WH001,Electronics,8920.1,515.64,7.27,7.27,0.0,0,20,5,Saturday,1,2022,1,1,1.15,1.039,13.4,1
SHP-000002,2022-01-01,2022-01-01 15:15:00,2022-01-01 20:06:00,R010,Johannesburg,Bloemfontein,400,1,DRV-081,5,4.3,TRK-060,CUST-0067,WH003,Perishables,10691.7,390.66,4.85,4.85,0.0,0,15,5,Saturday,1,2022,1,1,1.15,0.97,20.1,1
SHP-000003,2022-01-01,2022-01-01 06:13:00,2022-01-01 13:00:24,R002,Johannesburg,Durban,560,2,DRV-003,5,4.5,TRK-030,CUST-0160,WH001,Automotive Parts,3710.8,447.45,6.79,6.79,0.0,0,6,5,Saturday,1,2022,1,1,1.15,0.97,13.1,1
SHP-000004,2022-01-02,2022-01-02 15:39:00,2022-01-03 08:47:09,R006,Cape Town,Johannesburg,1400,3,DRV-073,20,3.6,TRK-011,CUST-0113,WH003,Textiles,28000.0,1324.18,17.14,17.14,0.0,0,15,6,Sunday,1,2022,0,1,1.0,1.071,17.1,1
SHP-000005,2022-01-02,2022-01-02 09:56:00,2022-01-02 22:19:45,R009,Bloemfontein,Cape Town,1000,2,DRV-077,8,4.8,TRK-060,CUST-0170,WH001,General Freight,2797.9,899.12,12.4,12.4,0.0,0,9,6,Sunday,1,2022,0,1,1.15,1.033,16.2,1
SHP-000006,2022-01-02,2022-01-02 12:16:00,2022-01-03 05:59:55,R006,Cape Town,Johannesburg,1400,3,DRV-053,4,3.3,TRK-044,CUST-0163,WH002,Textiles,2475.9,1210.96,17.23,17.73,0.5,1,12,6,Sunday,1,2022,0,1,1.0,1.077,10.3,0
SHP-000007,2022-01-02,2022-01-02 14:16:00,2022-01-03 03:28:28,R005,Johannesburg,Port Elizabeth,1060,3,DRV-012,6,4.4,TRK-001,CUST-0086,WH001,Textiles,500.0,936.64,13.21,13.21,0.0,0,14,6,Sunday,1,2022,0,1,1.15,1.016,17.8,1
SHP-000008,2022-01-03,2022-01-03 13:09:00,2022-01-03 19:50:31,R002,Johannesburg,Durban,560,2,DRV-039,2,4.6,TRK-035,CUST-0010,WH002,Textiles,13091.7,605.24,6.69,6.69,0.0,0,13,0,Monday,1,2022,0,0,1.15,0.956,7.9,1
SHP-000009,2022-01-03,2022-01-03 07:49:00,2022-01-04 06:42:45,R001,Johannesburg,Cape Town,1400,3,DRV-092,18,3.5,TRK-014,CUST-0175,WH003,Perishables,2940.5,1261.24,22.9,22.9,0.0,0,7,0,Monday,1,2022,0,0,1.15,1.431,11.0,1
SHP-000010,2022-01-03,2022-01-03 08:59:00,2022-01-03 20:30:12,R004,Durban,Bloemfontein,620,3,DRV-042,19,4.8,TRK-052,CUST-0046,WH001,Electronics,2113.3,612.95,11.52,11.52,0.0,0,8,0,Monday,1,2022,0,0,1.15,1.44,5.4,1
SHP-000011,2022-01-03,2022-01-03 18:54:00,2022-01-04 05:32:24,R004,Durban,Bloemfontein,620,3,DRV-069,17,4.2,TRK-011,CUST-0180,WH002,General Freight,2309.1,536.38,10.64,10.64,0.0,0,18,0,Monday,1,2022,0,0,1.15,1.33,16.4,1
SHP-000012,2022-01-03,2022-01-03 10:55:00,2022-01-03 20:38:40,R004,Durban,Bloemfontein,620,3,DRV-058,18,4.7,TRK-002,CUST-0169,WH002,Perishables,28000.0,637.41,9.73,9.73,0.0,0,10,0,Monday,1,2022,0,0,1.15,1.216,15.6,1
SHP-000013,2022-01-03,2022-01-03 13:16:00,2022-01-04 01:44:04,R009,Bloemfontein,Cape Town,1000,2,DRV-085,18,4.5,TRK-002,CUST-0030,WH001,Hazardous,5691.1,935.04,12.47,12.47,0.0,0,13,0,Monday,1,2022,0,0,1.15,1.039,11.9,1
SHP-000014,2022-01-03,2022-01-03 05:27:00,2022-01-03 13:04:22,R007,Durban,Johannesburg,560,2,DRV-030,12,3.4,TRK-025,CUST-0148,WH002,Perishables,2391.5,541.09,7.62,7.62,0.0,0,5,0,Monday,1,2022,0,0,1.5,1.089,17.8,1
SHP-000015,2022-01-03,2022-01-03 14:42:00,2022-01-03 23:25:26,R004,Durban,Bloemfontein,620,3,DRV-094,2,3.5,TRK-028,CUST-0018,WH002,FMCG,2387.4,530.55,8.46,8.72,0.26,1,14,0,Monday,1,2022,0,0,1.15,1.058,21.4,0
SHP-000016,2022-01-03,2022-01-03 07:26:00,2022-01-03 16:55:56,R007,Durban,Johannesburg,560,2,DRV-084,14,4.9,TRK-026,CUST-0179,WH003,Hazardous,4835.8,466.61,9.5,9.5,0.0,0,7,0,Monday,1,2022,0,0,1.15,1.357,9.8,1
SHP-000017,2022-01-04,2022-01-04 08:50:00,2022-01-05 03:00:26,R005,Johannesburg,Port Elizabeth,1060,3,DRV-104,15,4.7,TRK-036,CUST-0001,WH002,Hazardous,13187.9,956.89,18.17,18.17,0.0,0,8,1,Tuesday,1,2022,0,0,1.15,1.398,9.1,1
SHP-000018,2022-01-04,2022-01-04 06:32:00,2022-01-04 17:00:26,R004,Durban,Bloemfontein,620,3,DRV-122,18,4.3,TRK-051,CUST-0189,WH003,Perishables,28000.0,703.8,9.54,10.47,0.93,1,6,1,Tuesday,1,2022,0,0,1.15,1.193,18.8,0
SHP-000019,2022-01-04,2022-01-04 05:30:00,2022-01-04 14:01:12,R004,Durban,Bloemfontein,620,3,DRV-080,18,4.5,TRK-015,CUST-0051,WH001,Perishables,6389.2,629.09,8.52,8.52,0.0,0,5,1,Tuesday,1,2022,0,0,1.15,1.065,17.5,1
SHP-000020,2022-01-04,2022-01-04 11:09:00,2022-01-04 15:54:18,R010,Johannesburg,Bloemfontein,400,1,DRV-050,8,5.0,TRK-046,CUST-0179,WH002,Electronics,1464.2,409.9,4.75,4.75,0.0,0,11,1,Tuesday,1,2022,0,0,1.15,0.951,7.7,1
SHP-000021,2022-01-04,2022-01-04 12:03:00,2022-01-04 20:27:21,R002,Johannesburg,Durban,560,2,DRV-109,7,4.1,TRK-015,CUST-0046,WH003,Textiles,2827.7,454.48,7.62,8.41,0.79,1,12,1,Tuesday,1,2022,0,0,1.15,1.088,18.2,0
SHP-000022,2022-01-04,2022-01-04 18:27:00,2022-01-05 12:24:57,R008,Port Elizabeth,Johannesburg,1060,3,DRV-082,18,3.3,TRK-049,CUST-0114,WH003,Automotive Parts,7423.0,984.82,17.97,17.97,0.0,0,18,1,Tuesday,1,2022,0,0,1.0,1.382,6.9,1
SHP-000023,2022-01-04,2022-01-04 09:49:00,2022-01-05 04:25:43,R008,Port Elizabeth,Johannesburg,1060,3,DRV-116,8,3.3,TRK-017,CUST-0193,WH003,Perishables,9882.8,892.27,18.12,18.61,0.49,1,9,1,Tuesday,1,2022,0,0,1.0,1.394,17.6,0
SHP-000024,2022-01-04,2022-01-04 06:09:00,2022-01-04 21:48:07,R005,Johannesburg,Port Elizabeth,1060,3,DRV-061,18,4.5,TRK-018,CUST-0086,WH003,Hazardous,14374.3,903.76,15.65,15.65,0.0,0,6,1,Tuesday,1,2022,0,0,1.15,1.204,17.0,1
SHP-000025,2022-01-04,2022-01-04 08:26:00,2022-01-04 18:20:18,R007,Durban,Johannesburg,560,2,DRV-085,18,4.5,TRK-035,CUST-0120,WH001,Electronics,3833.0,440.43,9.91,9.91,0.0,0,8,1,Tuesday,1,2022,0,0,1.15,1.415,11.5,1
SHP-000026,2022-01-04,2022-01-04 16:54:00,2022-01-05 00:01:30,R010,Johannesburg,Bloemfontein,400,1,DRV-098,7,4.1,TRK-031,CUST-0002,WH002,Hazardous,804.5,402.61,7.12,7.12,0.0,0,16,1,Tuesday,1,2022,0,0,1.15,1.425,18.4,1
SHP-000027,2022-01-04,2022-01-04 12:24:00,2022-01-04 17:39:36,R010,Johannesburg,Bloemfontein,400,1,DRV-057,15,4.1,TRK-032,CUST-0057,WH002,Hazardous,3970.8,326.67,5.26,5.26,0.0,0,12,1,Tuesday,1,2022,0,0,1.15,1.052,12.4,1
SHP-000028,2022-01-04,2022-01-04 13:42:00,2022-01-05 04:40:40,R008,Port Elizabeth,Johannesburg,1060,3,DRV-033,6,4.1,TRK-040,CUST-0137,WH002,General Freight,13030.3,959.35,13.6,14.98,1.38,1,13,1,Tuesday,1,2022,0,0,1.35,1.046,19.4,0
